Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3
501313,CASCADE MEDICAL CENTER,817 COMMERCIAL STREET,LEAVENWORTH,WA,98826,CHELAN,5095485815,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"817 COMMERCIAL STREET LEAVENWORTH, WA (47.594457, -120.661503)",https://cascademedical.org/,https://cascademedical.org/services/family-practice-clinic,https://cascademedical.org/about-us
450340,SAN ANGELO COMMUNITY MEDICAL CENTER,3501 KNICKERBOCKER ROAD,SAN ANGELO,TX,76904,TOM GREEN,3259499511,Acute Care Hospitals,Proprietary,True,True,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"3501 KNICKERBOCKER ROAD SAN ANGELO, TX (31.420076, -100.470132)",https://www.sacmc.com/,https://www.sacmc.com/career-opportunities,https://www.sacmc.com/phone-directory
670110,FIRST TEXAS HOSPITAL CARRROLLTON LLC,1401 E TRINITY MILLS ROAD,CARROLLTON,TX,75006,DALLAS,9728100700,Acute Care Hospitals,Proprietary,True,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"1401 E TRINITY MILLS ROAD CARROLLTON, TX (32.985001, -96.898221)",https://www.healthcare4ppl.com/hospital/texas/carrollton/first-texas-hospital-carrrollton-llc-670110.html,https://healthcarecomps.com/hospitals/tx/670110/,https://locations.hrt.org/listing/first-texas-hospital-carrrollton-llc-1401-e-trinity-mills-road-carrollton-tx-75006.html
531303,WESTON COUNTY HEALTH SERVICES,1124 WASHINGTON BOULEVARD,NEWCASTLE,WY,82701,WESTON,3077464491,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1124 WASHINGTON BOULEVARD NEWCASTLE, WY (43.848747, -104.188756)",http://wchs-wy.org/about-wchs/contact-directions/,http://wchs-wy.org/,http://wchs-wy.org/about-wchs/
530035,ASPEN MOUNTAIN MEDICAL CENTER,4401 COLLEGE DRIVE,ROCK SPRINGS,WY,82901,SWEETWATER,3074482758,Acute Care Hospitals,Proprietary,False,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"4401 COLLEGE DRIVE ROCK SPRINGS, WY (41.603187, -109.247917)",http://aspenmountainmc.com/,http://aspenmountainmc.com/contact/,http://aspenmountainmc.com/physicians/
450755,COVENANT HOSPITAL LEVELLAND,1900 COLLEGE AVE,LEVELLAND,TX,79336,HOCKLEY,8068944963,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"1900 COLLEGE AVE LEVELLAND, TX (33.573273, -102.367755)",https://www.covenanthealth.org/our-services/family-medicine/family-medicine-clinic-of-levelland/,https://www.covenanthealth.org/contact-us/locations/covenant-health-levelland2/,https://www.stjhs.org/our-locations/texas/covenant-health-levelland/
450162,GRACE MEDICAL CENTER,2412 50TH ST,LUBBOCK,TX,79412,LUBBOCK,8067884100,Acute Care Hospitals,Proprietary,True,True,4,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,"2412 50TH ST LUBBOCK, TX (33.548786, -101.869098)",https://gracehealthsystem.com/locations/grace-medical-center/,https://gracehealthsystem.com/,https://gracehealthsystem.com/locations/grace-walk-in-clinic-50th/
453308,OUR CHILDRENS HOUSE,8 PRESTIGE CIRCLE 101,ALLEN,TX,75002,COLLIN,2148284747,Childrens,Voluntary non-profit - Church,False,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"8 PRESTIGE CIRCLE 101 ALLEN, TX (33.092018, -96.672738)",https://www.childrens.com/location-landing/locations-and-directions/specialty-centers/specialty-center-allen,https://www.manta.com/c/mm7xmb5/our-children-s-house-allen,http://disabilityresources.tamu.edu/our-childrens-house-at-baylor-allen
520066,MERCY HEALTH SYSTEM CORP,1000 MINERAL POINT AVE,JANESVILLE,WI,53548,ROCK,6087566080,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Above the national average,,"1000 MINERAL POINT AVE JANESVILLE, WI (42.686744, -89.032725)",https://mercyhealthsystem.org/location/mercyhealth-hospital-and-trauma-center-janesville/,https://mercyhealthsystem.org/location/mercyhealth-henry-palmer-building/,https://mercyhealthsystem.org/
451385,GOODALL WITCHER HOSPITAL,101 POSEY AVENUE,CLIFTON,TX,76634,BOSQUE,2546758322,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"101 POSEY AVENUE CLIFTON, TX (31.777153, -97.588431)",http://www.gwhf.org/,http://www.hospital-data.com/hospitals/GOODALL-WITCHER-HEALTHCARE-FOUNDATIO490.html,http://www.cliftontexas.org/BusinessListing/businessdetails.aspx?id=522
450675,MEDICAL CITY ARLINGTON,3301 MATLOCK ROAD,ARLINGTON,TX,76015,TARRANT,8174653241,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"3301 MATLOCK ROAD ARLINGTON, TX (32.691751, -97.1148)",https://medicalcityarlington.com/,https://medicalcityarlington.com/careers/search.dot,https://medicalcityarlington.com/about/contact.dot
670010,MAYHILL HOSPITAL,2809 SOUTH MAYHILL ROAD,DENTON,TX,76208,DENTON,9402393000,Acute Care Hospitals,Proprietary,False,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"2809 SOUTH MAYHILL ROAD DENTON, TX (33.175842, -97.088293)",https://mayhillhospital.com/,https://mayhillhospital.com/contact-us/,https://mayhillhospital.com/careers/
